num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3995	7735.672883	63.332716	-17.859120	4.641545	14.403749
3997	7737.754376	63.386498	-17.847569	-1.642117	14.183310
3999	7739.834284	63.668885	-18.046242	-1.645133	14.213792
4001	7741.913355	62.371691	-17.968994	4.633675	13.754757
4003	7743.990452	62.843104	-19.714172	4.617087	13.217913
4005	7746.067944	63.263504	-18.069307	4.637451	13.417924
4007	7748.146329	60.236945	-21.734814	4.619908	13.430508
4009	7750.225787	66.045768	24.303185	-1.520041	14.242027
4011	7752.307239	65.303901	20.436470	4.665247	13.972455
4013	7754.388625	67.207528	22.277888	4.658586	13.920492
4015	7756.470839	62.884716	-16.696556	4.614855	14.842661
4017	7758.552917	64.657375	-18.561286	4.599315	14.597954
4019	7760.633829	65.443489	20.254352	4.710678	13.715380
4021	7762.714871	67.547626	21.143768	4.635629	14.053162
4023	7764.795013	65.698236	22.512773	4.652664	14.198927
4025	7766.875697	65.958092	20.101368	4.649752	14.381043
4027	7768.955207	62.998350	-17.216537	4.594479	13.910828
4029	7771.034326	62.727320	-17.668950	4.596952	13.981945
4031	7773.113517	64.358347	-18.678018	4.561013	13.658372
4033	7775.192999	59.527185	-20.057415	4.568860	13.965956
4035	7777.272835	65.535934	21.169895	4.660164	13.550868
4037	7779.354356	60.772023	-18.776977	4.563625	13.757198
4039	7781.436269	64.032937	18.773324	4.634391	13.555517
4041	7783.519487	61.718956	-16.346953	4.615030	12.802467
4043	7785.602652	62.615610	-16.202790	4.613328	12.799721
4045	7787.684967	62.104959	-16.334248	4.613429	13.931537
4047	7789.766333	64.062772	-18.259672	4.559684	13.927367
4049	7791.846908	54.727651	-15.492959	4.628379	13.664058
4051	7793.926724	72.895405	-16.572172	4.401849	13.404346
4053	7796.006018	57.644863	-16.046513	4.574482	13.560357
4055	7798.084724	61.389839	-16.368527	4.594211	13.660739
4057	7800.164578	60.296961	-17.790354	4.523875	13.494193
4059	7802.244456	60.980898	-18.273268	4.530083	13.798558
4061	7804.324349	63.242961	-16.287961	4.568224	13.980466
4063	7806.405478	60.410353	-16.496051	4.581185	13.909192
4065	7808.486637	61.512555	-17.912671	4.518549	13.625637
4067	7810.568001	63.809631	21.642787	4.597224	13.910309
4069	7812.649828	66.482328	22.356417	4.585761	13.702912
4071	7814.731064	61.783750	-23.543478	4.415148	13.739696
4073	7816.812680	58.883278	18.902205	4.609155	13.812837
4075	7818.893710	66.376583	21.778023	4.568282	13.744661
4077	7820.972447	59.932997	-18.311265	4.522149	13.375296
4079	7823.051702	60.541919	-21.218159	4.518297	12.917643
4081	7825.130068	65.583186	20.472920	4.573020	13.098860
4083	7827.207985	64.476082	-17.880262	4.495945	13.370247
4085	7829.286047	58.443052	-18.826324	4.496615	13.122885
4087	7831.364486	61.192568	-20.912131	4.482753	13.252636
4089	7833.445521	56.884955	-18.038639	4.490335	13.651417
4091	7835.526542	61.492169	25.131109	4.582041	13.573260
4093	7837.607785	61.457900	-16.604879	4.507941	13.384178
4095	7839.688791	56.300645	-21.614868	4.495382	13.777703
4097	7841.769873	60.846428	-16.776938	4.496815	13.919798
4099	7843.851024	62.192621	-17.566260	4.475246	13.421682
4101	7845.931053	57.632322	-18.256415	4.467089	13.769315
4103	7848.011683	64.043803	18.927733	4.518013	13.952305
4105	7850.091427	63.519778	20.049544	4.550098	13.871150
4107	7852.171182	62.536325	20.836335	4.527943	13.643717
4109	7854.250772	59.050909	-15.948808	4.486500	13.198278
4111	7856.330657	59.677810	-17.242363	4.444420	13.462581
4113	7858.411379	61.066084	18.877269	4.539082	13.441707
4115	7860.494102	60.575371	-15.848700	4.506292	13.010606
4117	7862.576500	60.946519	-17.547349	4.427831	13.022683
4119	7864.659081	62.516534	-17.272213	4.462123	12.701808
4121	7866.741553	62.766363	22.146844	4.521476	12.789681
4123	7868.823795	61.256945	20.510455	4.462578	12.805468
4125	7870.905156	60.285564	20.944315	4.573870	13.039520
4127	7872.986102	61.102540	19.912489	4.485040	13.404747
4129	7875.065994	61.575074	19.252283	4.534333	13.068137
4131	7877.146697	60.487972	-18.765625	4.450169	13.338764
4133	7879.226585	58.679604	19.570523	4.494301	13.865235
4135	7881.306414	55.900427	18.510417	4.463680	13.350282
4137	7883.387150	61.264237	18.392980	4.486913	13.007450
4139	7885.467356	60.155993	-15.989073	4.440562	13.367229
4141	7887.548059	60.520056	-17.004475	4.427959	13.370005
4143	7889.628576	61.158085	20.409830	4.435243	13.381351
4145	7891.710384	63.592057	19.638218	4.475712	13.650349
4147	7893.791157	59.309898	20.356612	4.472846	13.548021
4149	7895.871929	63.906423	-17.902128	4.377899	13.382957
4151	7897.951510	61.537498	-16.794780	4.423069	13.284366
4153	7900.031057	60.361383	-16.130546	4.410568	13.378753
4155	7902.110328	57.901127	18.315196	4.448553	13.118937
4157	7904.189161	62.025466	-16.446930	4.435141	12.976863
4159	7906.267062	59.438733	-16.186293	4.424889	12.852244
4161	7908.346198	59.762051	-20.800242	4.408223	12.602794
4163	7910.424777	60.137257	27.829979	4.478385	13.150155
4165	7912.504892	62.122922	23.271982	4.401692	13.250570
4167	7914.585155	62.316534	23.902088	4.482606	13.386378
4169	7916.665315	59.968957	-16.738029	4.395059	13.107777
4171	7918.746802	60.732130	19.097310	4.417226	13.375370
4173	7920.827504	59.303123	-16.341925	4.397900	13.773994
4175	7922.907769	61.791174	21.659786	4.421692	13.322320
4177	7924.988426	62.594526	19.219202	4.402122	13.284238
4179	7927.068218	61.005596	18.887962	4.422274	13.275454
4181	7929.149438	60.386900	-15.412076	4.411799	13.325536
4183	7931.229741	58.646403	-19.572297	4.369937	13.387490
4185	7933.310033	61.184111	-15.788097	4.394253	13.203541
4187	7935.390569	57.436504	-19.413844	4.367132	12.946391
4189	7937.471754	59.484465	-15.481318	4.376868	13.252683
4191	7939.553901	60.031409	-16.976763	4.364488	13.156224
4193	7941.636157	51.284411	-17.337504	4.382746	12.448141
4195	7943.718465	55.145158	-25.771731	3.954494	12.663301
4197	7945.800058	56.863649	-15.177206	4.367176	12.741613
4199	7947.882380	58.946307	21.823850	4.391351	12.572366
4201	7949.964318	62.131690	24.646471	4.381109	12.816345
4203	7952.045122	61.374818	23.180742	4.358833	13.012854
4205	7954.126314	60.835001	22.270702	4.409716	13.000103
4207	7956.207190	62.227147	19.184988	4.365601	13.046045
4209	7958.287374	62.023790	19.735481	4.354626	13.546929
4211	7960.367777	62.049960	19.431315	4.419935	12.727604
4213	7962.448666	58.989547	-15.352418	4.373969	12.901808
4215	7964.528988	62.128338	-19.894531	4.283148	13.287570
4217	7966.608871	63.469387	20.564323	4.330404	13.290437
4219	7968.690097	61.492676	-15.939797	4.329317	13.075713
4221	7970.770855	58.589861	-16.652150	4.315688	12.950109
4223	7972.851540	58.504344	16.982196	4.345519	13.473938
4225	7974.930838	59.328701	-15.343420	4.319511	13.363155
4227	7977.011042	58.403034	-14.928796	4.314347	12.855523
4229	7979.090352	60.379047	-15.198960	4.334884	13.174437
4231	7981.169085	58.244545	-20.568624	4.275237	12.437540
4233	7983.246865	51.109127	-17.433153	4.335271	12.607750
4235	7985.326519	58.546038	-16.301094	4.318019	12.817099
4237	7987.405561	61.569985	18.510493	4.363643	12.717099
4239	7989.485047	61.296653	-15.151876	4.304203	13.023955
4241	7991.564697	58.776389	-15.693262	4.302373	12.849382
4243	7993.644596	59.038396	-15.260771	4.314167	13.376611
4245	7995.726057	55.049980	-17.140946	4.296270	13.603280
4247	7997.806808	63.672406	18.894801	4.291465	13.033940
4249	7999.887246	59.463232	16.606869	4.286677	13.067893
4251	8001.967630	65.964800	18.814469	4.288080	12.976768
4253	8004.048114	63.076452	18.329843	4.306226	13.315000
4255	8006.128621	53.607566	-12.526225	4.316207	13.162826
4257	8008.209640	64.562586	18.496858	4.277398	13.226146
4259	8010.290282	60.131605	-15.551847	4.258627	13.403004
4261	8012.370876	61.366752	17.674091	4.272505	13.094189
4263	8014.452116	56.137003	-14.490385	4.323202	13.208841
4265	8016.533956	56.967041	-17.592939	4.208083	12.860023
4267	8018.615750	59.154118	-14.791290	4.274255	13.004613
4269	8020.697442	66.015999	-16.521387	4.274003	12.769760
4271	8022.779751	62.657951	20.882550	4.260028	12.820200
4273	8024.862274	60.041348	-14.875180	4.277508	12.599516
4275	8026.944085	57.349873	-14.665795	4.305272	12.907361
4277	8029.025283	57.538915	-14.870058	4.290479	12.853769
4279	8031.106441	61.226540	-15.263669	4.255969	13.460404
4281	8033.186996	64.574132	20.080616	4.275520	13.070022
4283	8035.267871	60.030280	-14.569709	4.266140	13.708610
4285	8037.348051	56.974634	-14.924767	4.278954	12.951153
